,Élément,Produit,Année,Unité,Valeur,Symbole,Description du Symbole,Note
201,Superficie récoltée,Autres légumes frais n.a.c.,2017,ha,27735.0,I,Valeur imputée par une agence réceptrice,
202,Rendement,Autres légumes frais n.a.c.,2017,kg/ha,5086.0,E,Valeur estimée,
203,Production,Autres légumes frais n.a.c.,2017,tonnes,141059.13,I,Valeur imputée par une agence réceptrice,
204,Superficie récoltée,Autres légumes frais n.a.c.,2018,ha,27827.0,I,Valeur imputée par une agence réceptrice,
205,Rendement,Autres légumes frais n.a.c.,2018,kg/ha,5086.5,E,Valeur estimée,
206,Production,Autres légumes frais n.a.c.,2018,tonnes,141543.39,I,Valeur imputée par une agence réceptrice,
207,Superficie récoltée,Autres légumes frais n.a.c.,2019,ha,27865.0,I,Valeur imputée par une agence réceptrice,
208,Rendement,Autres légumes frais n.a.c.,2019,kg/ha,5093.9,E,Valeur estimée,
209,Production,Autres légumes frais n.a.c.,2019,tonnes,141940.38,I,Valeur imputée par une agence réceptrice,
210,Superficie récoltée,Autres légumes frais n.a.c.,2020,ha,27940.0,I,Valeur imputée par une agence réceptrice,
211,Rendement,Autres légumes frais n.a.c.,2020,kg/ha,5100.1,E,Valeur estimée,
212,Production,Autres légumes frais n.a.c.,2020,tonnes,142496.34,I,Valeur imputée par une agence réceptrice,
213,Superficie récoltée,Autres légumes frais n.a.c.,2021,ha,28057.0,I,Valeur imputée par une agence réceptrice,
214,Rendement,Autres légumes frais n.a.c.,2021,kg/ha,5105.2,E,Valeur estimée,
215,Production,Autres légumes frais n.a.c.,2021,tonnes,143237.51,I,Valeur imputée par une agence réceptrice,
216,Superficie récoltée,Autres légumes frais n.a.c.,2022,ha,28179.0,I,Valeur imputée par une agence réceptrice,
217,Rendement,Autres légumes frais n.a.c.,2022,kg/ha,5105.2,E,Valeur estimée,
218,Production,Autres légumes frais n.a.c.,2022,tonnes,143856.84,I,Valeur imputée par une agence réceptrice,
219,Superficie récoltée,Autres légumes frais n.a.c.,2023,ha,28244.0,I,Valeur imputée par une agence réceptrice,
220,Rendement,Autres légumes frais n.a.c.,2023,kg/ha,5109.9,E,Valeur estimée,
221,Production,Autres légumes frais n.a.c.,2023,tonnes,144321.52,I,Valeur imputée par une agence réceptrice,
222,Superficie récoltée,Autres légumes frais n.a.c.,2024,ha,28310.0,I,Valeur imputée par une agence réceptrice,
223,Rendement,Autres légumes frais n.a.c.,2024,kg/ha,5114.5,E,Valeur estimée,
224,Production,Autres légumes frais n.a.c.,2024,tonnes,144794.67,I,Valeur imputée par une agence réceptrice,
240,Superficie récoltée,Bananes,2010,ha,1800.0,E,Valeur estimée,
241,Rendement,Bananes,2010,kg/ha,11666.7,E,Valeur estimée,
242,Production,Bananes,2010,tonnes,21000.0,E,Valeur estimée,
243,Superficie récoltée,Bananes,2011,ha,1850.0,I,Valeur imputée par une agence réceptrice,
244,Rendement,Bananes,2011,kg/ha,11889.0,E,Valeur estimée,
245,Production,Bananes,2011,tonnes,22000.0,E,Valeur estimée,
246,Superficie récoltée,Bananes,2012,ha,1850.0,E,Valeur estimée,
247,Rendement,Bananes,2012,kg/ha,12432.4,E,Valeur estimée,
248,Production,Bananes,2012,tonnes,23000.0,E,Valeur estimée,
249,Superficie récoltée,Bananes,2013,ha,1985.0,I,Valeur imputée par une agence réceptrice,
250,Rendement,Bananes,2013,kg/ha,12052.0,E,Valeur estimée,
251,Production,Bananes,2013,tonnes,23923.43,I,Valeur imputée par une agence réceptrice,
252,Superficie récoltée,Bananes,2014,ha,2046.0,I,Valeur imputée par une agence réceptrice,
253,Rendement,Bananes,2014,kg/ha,12148.6,E,Valeur estimée,
254,Production,Bananes,2014,tonnes,24858.34,I,Valeur imputée par une agence réceptrice,
255,Superficie récoltée,Bananes,2015,ha,1950.0,I,Valeur imputée par une agence réceptrice,
256,Rendement,Bananes,2015,kg/ha,12417.0,E,Valeur estimée,
257,Production,Bananes,2015,tonnes,24211.65,I,Valeur imputée par une agence réceptrice,
258,Superficie récoltée,Bananes,2016,ha,1931.0,I,Valeur imputée par une agence réceptrice,
259,Rendement,Bananes,2016,kg/ha,12605.7,E,Valeur estimée,
260,Production,Bananes,2016,tonnes,24339.09,I,Valeur imputée par une agence réceptrice,
261,Superficie récoltée,Bananes,2017,ha,1910.0,I,Valeur imputée par une agence réceptrice,
262,Rendement,Bananes,2017,kg/ha,12745.1,E,Valeur estimée,
263,Production,Bananes,2017,tonnes,24339.49,I,Valeur imputée par une agence réceptrice,
264,Superficie récoltée,Bananes,2018,ha,1892.0,I,Valeur imputée par une agence réceptrice,
265,Rendement,Bananes,2018,kg/ha,12885.4,E,Valeur estimée,
266,Production,Bananes,2018,tonnes,24379.24,I,Valeur imputée par une agence réceptrice,
267,Superficie récoltée,Bananes,2019,ha,1878.0,I,Valeur imputée par une agence réceptrice,
268,Rendement,Bananes,2019,kg/ha,13030.0,E,Valeur estimée,
269,Production,Bananes,2019,tonnes,24464.48,I,Valeur imputée par une agence réceptrice,
270,Superficie récoltée,Bananes,2020,ha,1863.0,I,Valeur imputée par une agence réceptrice,
271,Rendement,Bananes,2020,kg/ha,13182.2,E,Valeur estimée,
272,Production,Bananes,2020,tonnes,24552.42,I,Valeur imputée par une agence réceptrice,
273,Superficie récoltée,Bananes,2021,ha,1886.0,I,Valeur imputée par une agence réceptrice,
274,Rendement,Bananes,2021,kg/ha,13317.2,E,Valeur estimée,
275,Production,Bananes,2021,tonnes,25118.91,I,Valeur imputée par une agence réceptrice,
276,Superficie récoltée,Bananes,2022,ha,1871.0,I,Valeur imputée par une agence réceptrice,
277,Rendement,Bananes,2022,kg/ha,13469.5,E,Valeur estimée,
278,Production,Bananes,2022,tonnes,25206.71,I,Valeur imputée par une agence réceptrice,
279,Superficie récoltée,Bananes,2023,ha,1864.0,I,Valeur imputée par une agence réceptrice,
280,Rendement,Bananes,2023,kg/ha,13606.7,E,Valeur estimée,
281,Production,Bananes,2023,tonnes,25361.18,I,Valeur imputée par une agence réceptrice,
282,Superficie récoltée,Bananes,2024,ha,1856.0,I,Valeur imputée par une agence réceptrice,
283,Rendement,Bananes,2024,kg/ha,13743.9,E,Valeur estimée,
284,Production,Bananes,2024,tonnes,25513.31,I,Valeur imputée par une agence réceptrice,
285,Production,"Bière d’orge, maltée",2010,tonnes,48000.0,X,Chiffre de source externe,Chiffre non officiel
286,Production,"Bière d’orge, maltée",2011,tonnes,40000.0,X,Chiffre de source externe,Chiffre non officiel
287,Production,"Bière d’orge, maltée",2012,tonnes,44000.0,X,Chiffre de source externe,Chiffre non officiel
288,Production,"Bière d’orge, maltée",2013,tonnes,50000.0,X,Chiffre de source externe,Chiffre non officiel
289,Production,"Bière d’orge, maltée",2014,tonnes,54000.0,X,Chiffre de source externe,Chiffre non officiel
290,Production,"Bière d’orge, maltée",2015,tonnes,65000.0,X,Chiffre de source externe,Chiffre non officiel
291,Production,"Bière d’orge, maltée",2016,tonnes,65000.0,X,Chiffre de source externe,Chiffre non officiel
292,Production,"Bière d’orge, maltée",2017,tonnes,67000.0,X,Chiffre de source externe,Chiffre non officiel
293,Production,"Bière d’orge, maltée",2018,tonnes,69000.0,X,Chiffre de source externe,Chiffre non officiel
294,Production,"Bière d’orge, maltée",2019,tonnes,69000.0,X,Chiffre de source externe,Chiffre non officiel
295,Production,"Bière d’orge, maltée",2020,tonnes,80000.0,X,Chiffre de source externe,Chiffre non officiel
296,Production,"Bière d’orge, maltée",2021,tonnes,120000.0,X,Chiffre de source externe,Chiffre non officiel
