Annee,Culture,Exportations_Tonnes,Importations_Tonnes,Pertes_Post_Recolte_Tonnes,Production_Tonnes,Rendement_Kg_Ha,Semences_Utilisees_Tonnes,Superficie_Irriguee_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Engrais_National_Total_Tonnes,Population_Agricole_Totale
2001,Manioc,0.0,351.0,,678865.0,9277.0,,,109014.0,109014.0,5730.0,4135000.0
2002,Manioc,0.0,351.0,,727707.0,10061.0,,,127653.0,127653.0,5080.0,4135000.0
2003,Manioc,0.0,351.0,,778865.0,9428.0,,,133586.0,133586.0,8435.5,4135000.0
2004,Manioc,0.0,351.0,,675475.0,10130.0,,,115891.0,115891.0,10423.5,4135000.0
2005,Manioc,0.0,351.0,,678186.0,6030.0,,,112471.0,112471.0,11329.0,4135000.0
2006,Manioc,0.0,351.0,,767366.0,8119.0,,,135720.0,135720.0,8466.5,4135000.0
2007,Manioc,0.0,351.0,,773162.0,7614.0,,,125740.0,125740.0,10199.0,4135000.0
2008,Manioc,0.0,351.0,,795373.0,7602.0,,,131425.0,131425.0,5230.0,4135000.0
2009,Manioc,0.0,351.0,,895654.501,6244.680656,,,143426.79,143426.79,9870.5,4135000.0
2010,Manioc,41.16,351.0,,908755.0,6167.908726,,,147336.0,147336.0,24874.1,4135000.0
2011,Manioc,0.0,351.0,,998540.0,6560.321663,,,152209.0,152209.0,25854.9,4135000.0
2012,Manioc,0.0,78.0,,959889.0,4129.538386,,,251589.0,251589.0,25861.2,4235333.333333333
2013,Manioc,50.96,78.0,,902860.0,3517.248096,,,256695.0,256695.0,34767.3,4339333.333333333
2014,Manioc,107.7,78.0,,1153109.456,4080.518739,,,282588.9377,282588.9377,36537.7,4446333.333333333
2015,Manioc,788.297,78.0,,1039135.0,3916.936923,,,265292.7582,265292.7582,32970.0,4557000.0
2016,Manioc,1014.653,78.0,,1027475.915,3799.527831,,,270422.0,270422.0,41704.45,4670666.666666667
2017,Manioc,546.235,78.0,,1041682.0,3941.712413,,,267020.4946,267020.4946,28109.75,4785333.333333333
2018,Manioc,719.96,78.0,,1089471.865,3980.841472,,,273678.787,273678.787,28109.75,4901666.666666667
2019,Manioc,968.852,78.0,,1117880.13485129,3949.83788031685,,,283019.245023194,283019.245023194,28109.75,5018666.666666667
2020,Manioc,703.957,78.0,,1158044.44366438,3949.83788031685,,,294060.956579582,294060.956579582,28109.75,5137333.333333333
2021,Manioc,534.518,78.0,,1204249.0,3977.80618480422,,,302742.0,302742.0,28109.75,5257666.666666667
2022,Manioc,534.518,78.0,,1224641.0,4013.0,,,305160.0,305160.0,28109.75,5378333.333333333
2000,Maïs,15.0,46.0,1305.72642835667,482052.0,1305.72642835667,131.22,,369183.0,369183.0,5730.0,4135000.0
2001,Maïs,15.0,46.0,1127.58120515767,464091.0,1169.0,131.22,,411581.0,411581.0,5730.0,4135000.0
2002,Maïs,15.0,46.0,1265.17724040253,510060.0,1276.0,131.22,,403153.0,403153.0,5080.0,4135000.0
2003,Maïs,15.0,46.0,1272.93898242508,537860.0,1089.69260701201,131.22,,422534.0,422534.0,8435.5,4135000.0
2004,Maïs,15.0,46.0,1089.69260701201,522561.0,1275.0,131.22,,479549.0,479549.0,10423.5,4135000.0
2005,Maïs,15.0,46.0,1159.24920531263,509468.0,1158.0,131.22,,439481.0,439481.0,11329.0,4135000.0
2006,Maïs,15.0,46.0,1167.77137305978,543343.0,1155.0,131.22,,465282.0,465282.0,8466.5,4135000.0
2007,Maïs,15.0,46.0,1166.27509611277,546050.0,1171.0,131.22,,468200.0,468200.0,10199.0,4135000.0
2008,Maïs,15.0,46.0,1192.14374315648,590104.0,1192.0,131.22,,494994.0,494994.0,5230.0,4135000.0
2009,Maïs,15.0,46.0,1255.86540883749,651738.2235,1255.865409,131.22,,518955.47,518955.47,9870.5,4135000.0
2010,Maïs,15.0,46.0,1212.89604907125,868260.127,1212.896049,131.22,,715857.0,715857.0,24874.1,4135000.0
2011,Maïs,15.0,46.0,1245.12799710693,650740.0,1245.127997,131.22,,522629.0,522629.0,25854.9,4135000.0
2012,Maïs,15.0,46.0,1142.45732642327,862257.4314,1142.0,131.22,,754739.29,754739.29,25861.2,4235333.333333333
2013,Maïs,15.0,46.0,924.357523408889,692610.0,924.3575234,131.22,,749288.0,749288.0,34767.3,4339333.333333333
2014,Maïs,15.0,46.0,1195.89153559924,833043.693,1195.891536,131.22,,696588.0,696588.0,36537.7,4446333.333333333
2015,Maïs,15.0,46.0,1389.54651633313,794661.0,1389.546516,131.22,,571885.1371,571885.1371,32970.0,4557000.0
2016,Maïs,15.0,46.0,1223.52478800173,826895.981,1223.524788,131.22,,675831.0,675831.0,41704.45,4670666.666666667
2017,Maïs,15.0,46.0,1230.79228529195,854689.318,1230.792285,131.22,,694422.0631,694422.0631,28109.75,4785333.333333333
2018,Maïs,15.0,46.0,1239.56527792802,886629.9229,1239.565278,131.22,,715274.8941,715274.8941,28109.75,4901666.666666667
2019,Maïs,15.0,46.0,1227.11994865433,912085.542118198,1227.11994865433,131.22,,743273.339430587,743273.339430587,28109.75,5018666.666666667
2020,Maïs,15.0,46.0,1226.02123245835,885030.406662367,1227.11994865433,131.22,,721872.006154209,721872.006154209,28109.75,5137333.333333333
2021,Maïs,15.0,46.0,1226.02123245835,929020.0,1230.18537130539,131.22,,755187.0,755187.0,28109.75,5257666.666666667
2022,Maïs,15.0,46.0,1226.02123245835,957047.0,1254.0,131.22,,763336.0,763336.0,28109.75,5378333.333333333
2000,Millet,0.0,0.0,,37373.0,620.0,,,79580.0,79580.0,5730.0,4135000.0
2001,Millet,0.0,0.0,,41248.0,640.0,,,78580.0,78580.0,5730.0,4135000.0
2002,Millet,18.0,2.5789473684210527,,51726.0,679.09517,,,76169.0,76169.0,5080.0,4135000.0
2003,Millet,30.97142857142857,5.157894736842105,,47136.0,696.4436105,,,67681.0,67681.0,8435.5,4135000.0
2004,Millet,43.94285714285714,7.7368421052631575,,35018.0,709.4120984,,,49362.0,49362.0,10423.5,4135000.0
2005,Millet,56.91428571428571,10.31578947368421,,42159.0,820.8847697,,,51358.0,51358.0,11329.0,4135000.0
2006,Millet,69.88571428571429,12.894736842105264,,42413.0,686.8724493,,,61748.0,61748.0,8466.5,4135000.0
2007,Millet,82.85714285714286,15.473684210526315,,45456.0,758.0,,,72481.0,72481.0,10199.0,4135000.0
2008,Millet,95.82857142857142,18.05263157894737,,47402.0,778.0,,,72048.0,72048.0,5230.0,4135000.0
2009,Millet,108.8,20.63157894736842,,49145.68389,687.6602941,,,71467.968,71467.968,9870.5,4135000.0
2010,Millet,121.77142857142857,23.210526315789473,,48264.0,654.1964867,,,73776.0,73776.0,24874.1,4135000.0
2011,Millet,134.74285714285713,25.789473684210527,,50363.0,686.5559736,,,73356.0,73356.0,25854.9,4135000.0
2012,Millet,147.71428571428572,28.36842105263158,,29339.0,502.0,,,58441.0,58441.0,25861.2,4235333.333333333
2013,Millet,160.68571428571428,30.94736842105263,,64441.0,1275.478495,,,50523.0,50523.0,34767.3,4339333.333333333
2014,Millet,173.65714285714284,33.526315789473685,,39683.602,624.6867401,,,51804.0,51804.0,36537.7,4446333.333333333
2015,Millet,186.62857142857143,36.10526315789474,,40002.07901,740.7518057,,,54002.0,54002.0,32970.0,4557000.0
2016,Millet,199.6,38.68421052631579,,50137.28851,829.8543597,,,60416.97308,60416.97308,41704.45,4670666.666666667
2017,Millet,257.0,41.26315789473684,,26044.1506,593.0977643,,,43912.0701,43912.0701,28109.75,4785333.333333333
2018,Millet,173.0,43.8421052631579,,22618.02669,586.3869616,,,38571.84449,38571.84449,28109.75,4901666.666666667
2019,Millet,323.0,46.421052631578945,,26807.4402472168,598.689520009408,,,44776.8657229804,44776.8657229804,28109.75,5018666.666666667
2020,Millet,197.0,49.0,,27237.0,598.689520009408,,,45385.0,45385.0,28109.75,5137333.333333333
2021,Millet,197.0,49.0,,27636.0,593.098120010301,,,46596.0,46596.0,28109.75,5257666.666666667
2022,Millet,197.0,49.0,,27915.0,611.0,,,46942.0,46942.0,28109.75,5378333.333333333
2000,Patates douces,60.0,,,2752.0,3866.0,,,5163.0,1643.0,5730.0,4135000.0
2001,Patates douces,60.0,,,1353.0,3866.0,,,5163.0,1831.0,5730.0,4135000.0
2002,Patates douces,60.0,,,5448.0,3866.0,,,5163.0,1494.0,5080.0,4135000.0
2003,Patates douces,60.0,,,1425.0,3866.0,,,5163.0,814.0,8435.5,4135000.0
2004,Patates douces,60.0,,,431.0,3866.0,,,5163.0,631.0,10423.5,4135000.0
2005,Patates douces,60.0,,,2399.0,3866.0,,,5163.0,793.0,11329.0,4135000.0
2006,Patates douces,55.0,,,2191.0,3866.0,,,5163.0,296.0,8466.5,4135000.0
2008,Patates douces,50.0,,,3989.0,3866.0,,,5163.0,597.0,5230.0,4135000.0
2009,Patates douces,45.0,,,3989.0,3866.0,,,5163.0,597.0,9870.5,4135000.0
2010,Patates douces,40.0,,,4753.0,3866.0,,,5163.0,603.0,24874.1,4135000.0
2011,Patates douces,35.0,,,4740.0,3866.0,,,5163.0,598.0,25854.9,4135000.0
2012,Patates douces,30.0,,,19957.0,6565.0,,,2594.0,5984.0,25861.2,4235333.333333333
2013,Patates douces,25.0,,,11337.0,3866.0,,,5163.0,5163.0,34767.3,4339333.333333333
2014,Patates douces,20.0,,,11497.0,3115.0,,,3691.0,3691.0,36537.7,4446333.333333333
2015,Patates douces,15.0,,,8301.0,3115.0,,,3691.0,3691.0,32970.0,4557000.0
2016,Patates douces,10.0,,,2737.0,3279.5725030000003,,,3113.16049,819.0,41704.45,4670666.666666667
2017,Patates douces,5.0,,,8732.013091,3444.145006,,,2535.32098,2535.32098,28109.75,4785333.333333333
2018,Patates douces,0.0,,,8550.754553,3641.826276,,,2347.93038,2347.93038,28109.75,4901666.666666667
2019,Patates douces,0.0,,,8672.0,3638.9926578799696,,,2506.96519,2375.0,28109.75,5018666.666666667
2021,Patates douces,0.0,,,9694.0,3636.15903975994,,,2666.0,2666.0,28109.75,5257666.666666667
2022,Patates douces,0.0,,,9919.0,3622.0,,,2738.0,2738.0,28109.75,5378333.333333333
2000,Riz (paddy),0.0,3.0,,59306.0,2083.0,,2.083,32413.0,32413.0,5730.0,4135000.0
2001,Riz (paddy),0.0,0.0,,64082.0,2336.0,,2.336,32110.0,32110.0,5730.0,4135000.0
2002,Riz (paddy),0.0,0.6666666666666666,,69246.0,2570.0,,2.57,32017.0,32017.0,5080.0,4135000.0
2003,Riz (paddy),0.0,1.3333333333333333,,62107.0,2743.0,,2.743,28594.0,28594.0,8435.5,4135000.0
2004,Riz (paddy),0.0,2.0,,68519.0,2572.0,,2.572,32276.0,32276.0,10423.5,4135000.0
2005,Riz (paddy),0.0,0.0,,72858.0,2209.0,,2.209,32711.0,32711.0,11329.0,4135000.0
2006,Riz (paddy),0.0,354.91,,76287.0,2553.0,,2.553,30723.0,30723.0,8466.5,4135000.0
2007,Riz (paddy),0.0,709.82,,80418.0,2834.0,,2.834,32717.0,32717.0,10199.0,4135000.0
2008,Riz (paddy),0.0,1064.73,,85637.0,2689.0,,2.689,36492.0,36492.0,5230.0,4135000.0
2009,Riz (paddy),0.0,112.014,,121294.7163,2654.040998,,2.65404099806135,45701.9,45701.9,9870.5,4135000.0
