Annee,Culture,Rendement_Kg_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Production_Tonnes,Superficie_Irriguee_Ha,Semences_Utilisees_Tonnes,Engrais_National_Total_Tonnes
2005,Sorgho,982.0,209754.0,209754.0,206032.0,,,11329.0
2006,Sorgho,1042.55161146591,215456.0,215456.0,221155.0,,,8466.5
2007,Sorgho,1027.0,211779.0,211779.0,210298.0,,,10199.0
2008,Sorgho,1059.0,213007.0,213007.0,211257.0,,,5230.0
2009,Sorgho,1098.08572,216435.52,216435.52,237664.7537,,,9870.5
2010,Sorgho,1209.347614,202319.0,202319.0,244674.0,,,24874.1
2011,Sorgho,1101.169217,220917.0,220917.0,243267.0,,,25854.9
2012,Sorgho,832.0,345111.0,345111.0,250892.0,,,25861.2
2013,Sorgho,944.3703392,302123.0,302123.0,285316.0,,,34767.3
2014,Sorgho,934.6032588,313039.0604,313039.0604,307579.0,,,36537.7
2015,Sorgho,847.7901211,304185.0,304185.0,270863.0,,,32970.0
2016,Sorgho,859.9794318,317189.0,317189.0,272776.016,,,41704.45
2017,Sorgho,875.21587,315541.8763,315541.8763,276167.2578,,,28109.75
2018,Sorgho,869.5423826,318834.329,318834.329,277239.9621,,,28109.75
2019,Sorgho,889.108269665341,317825.988834573,317825.988834573,282581.714987383,,,28109.75
2020,Sorgho,900.0,311244.574553312,311244.574553312,279105.203482086,,,28109.75
2021,Sorgho,876.443673781935,316034.0,316034.0,276986.0,,,28109.75
2022,Sorgho,884.0,317571.0,317571.0,280809.0,,,28109.75
